,Nivel de formación alcanzado,Tareas,Tiempo dedicado a trabajar en determinadas tareas,Tipo de dato,Total
100,Educación secundaria primera etapa e inferior,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Valores absolutos,"4.391,0"
101,Educación secundaria primera etapa e inferior,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Porcentajes,"72,51"
102,Educación secundaria primera etapa e inferior,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Valores absolutos,"150,2"
103,Educación secundaria primera etapa e inferior,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Porcentajes,"2,48"
104,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,Total,Valores absolutos,"6.055,3"
105,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,Total,Porcentajes,"100,00"
106,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,La mitad o más,Valores absolutos,"2.356,1"
107,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,La mitad o más,Porcentajes,"38,91"
108,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Valores absolutos,"3.466,8"
109,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Porcentajes,"57,25"
110,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Valores absolutos,"232,5"
111,Educación secundaria primera etapa e inferior,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Porcentajes,"3,84"
112,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,Total,Valores absolutos,"6.055,3"
113,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,Total,Porcentajes,"100,00"
114,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,La mitad o más,Valores absolutos,"1.947,5"
115,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,La mitad o más,Porcentajes,"32,16"
116,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Valores absolutos,"3.881,3"
117,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Porcentajes,"64,10"
118,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Valores absolutos,"226,5"
119,Educación secundaria primera etapa e inferior,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Porcentajes,"3,74"
120,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",Total,Valores absolutos,"6.055,3"
121,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",Total,Porcentajes,"100,00"
122,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",La mitad o más,Valores absolutos,"414,8"
123,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",La mitad o más,Porcentajes,"6,85"
124,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Valores absolutos,"5.402,7"
125,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Porcentajes,"89,22"
126,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Valores absolutos,"237,9"
127,Educación secundaria primera etapa e inferior,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Porcentajes,"3,93"
128,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,Total,Valores absolutos,"4.959,8"
129,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,Total,Porcentajes,"100,00"
130,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,La mitad o más,Valores absolutos,"1.673,1"
131,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,La mitad o más,Porcentajes,"33,73"
132,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,Menos de la mitad,Valores absolutos,"3.209,5"
133,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,Menos de la mitad,Porcentajes,"64,71"
134,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,No sabe/ No contesta,Valores absolutos,"77,2"
135,Educación secundaria segunda etapa,Trabajar con dispositivos digitales,No sabe/ No contesta,Porcentajes,"1,56"
136,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Valores absolutos,"4.959,8"
137,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Porcentajes,"100,00"
138,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Valores absolutos,"402,5"
139,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Porcentajes,"8,11"
140,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Valores absolutos,"4.344,7"
141,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Porcentajes,"87,60"
142,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Valores absolutos,"212,6"
143,Educación secundaria segunda etapa,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Porcentajes,"4,29"
144,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,Total,Valores absolutos,"4.959,8"
145,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,Total,Porcentajes,"100,00"
146,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,La mitad o más,Valores absolutos,"391,4"
147,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,La mitad o más,Porcentajes,"7,89"
148,Educación secundaria segunda etapa,Realizar cálculos relativamente complejos,Menos de la mitad,Valores absolutos,"4.427,6"
